Amount_Percentile,TransactionAmount,Amount_Ratio_To_Avg,Potential_Fraud_Score,Is_Late_Night,LoginAttempts,Is_Weekend,sample_weight
-0.9091995221027479,-0.5923777027890301,-0.5923777027890303,0.0,0.0,0.0,0.0,1.0
0.4352847471127044,0.4963286411086978,0.49632864110869773,0.0,0.0,0.0,0.0,1.0
-0.2951015531660692,-0.25507865050316775,-0.2550786505031678,0.0,0.0,0.0,0.0,1.0
-0.08641975308641958,-0.0800859781897983,-0.08008597818979837,0.0,0.0,0.0,0.0,1.0
-0.9155714854639585,-0.5943016902530494,-0.5943016902530495,0.0,0.0,0.0,0.0,1.0
-0.4575866188769413,-0.3577113567869408,-0.35771135678694094,0.0,0.0,0.0,0.0,1.0
-0.9649542015133412,-0.6134513779808652,-0.6134513779808652,0.0,0.0,0.0,0.0,1.0
-0.12943050577459167,-0.11940747198569032,-0.11940747198569042,0.0,0.0,0.0,0.0,1.0
-0.39068100358422925,-0.31538363257851887,-0.315383632578519,0.0,0.0,0.0,0.0,1.0
0.8693747510951814,1.8182282781063754,1.8182282781063754,0.0,0.0,0.0,0.0,1.0
-0.8876941457586618,-0.5812847125667946,-0.5812847125667947,0.0,0.0,0.0,0.0,1.0
-0.06650736758263621,-0.06349158631263285,-0.06349158631263292,0.0,0.0,0.0,0.0,1.0
0.6264436479490245,0.8519055743027423,0.8519055743027423,0.0,0.0,0.0,0.0,1.0
0.8550378335324574,1.7154151979978502,1.7154151979978507,0.0,0.0,0.0,0.0,1.0
-0.1501393866985263,-0.13272507271319803,-0.13272507271319814,0.0,0.0,0.0,0.0,1.0
0.5882118677817605,0.7645144562104962,0.7645144562104962,0.2,0.0,0.0,0.0,1.0
0.6877737953006773,1.0361273739825787,1.0361273739825787,0.0,0.0,0.0,0.0,1.0
0.6240541616885705,0.8471256679468198,0.8471256679468198,0.2,0.0,0.0,0.0,1.0
-0.8781362007168457,-0.5785791051955176,-0.5785791051955177,0.0,0.0,0.0,0.0,1.0
-0.5682994822779768,-0.41985013941393523,-0.4198501394139354,0.0,0.0,0.0,0.0,1.0
-0.6272401433691756,-0.4564059012302997,-0.4564059012302998,0.0,0.0,0.0,0.0,1.0
-0.4790919952210274,-0.37689110681888205,-0.37689110681888216,0.0,0.0,0.0,0.0,1.0
-0.6742333731581043,-0.4778102617675131,-0.4778102617675132,0.0,0.0,0.0,0.0,1.0
0.36997212266029494,0.40493923656778663,0.4049392365677866,0.3,0.0,2.0,0.0,0.2
-0.22102747909199505,-0.19720871506196588,-0.197208715061966,0.0,0.0,0.0,0.0,1.0
-0.9617682198327359,-0.612218823511728,-0.6122188235117281,0.0,0.0,0.0,0.0,1.0
